rep,n,method,rmse
0,5,BS,29.51340789578623
0,5,Rag,50.00025508783861
0,5,Supp,451.8876451563243
0,5,Cal,97.60654481884212
0,5,mCal,21.614535479916054
0,5,Flex,27.80276597660781
0,10,BS,15.58079993267285
0,10,Rag,15.0972153943047
0,10,Supp,404.9885823873792
0,10,Cal,46.28922958982754
0,10,mCal,11.88681681734866
0,10,Flex,15.443134490206024
0,25,BS,8.066055778712254
0,25,Rag,8.302127849027041
0,25,Supp,8805.275709217558
0,25,Cal,19.094527478963784
0,25,mCal,7.421393492591805
0,25,Flex,7.818469847953051
1,5,BS,27.624848663467514
1,5,Rag,46.212768644307744
1,5,Supp,450.1709598028493
1,5,Cal,94.78175461341418
1,5,mCal,20.172457387854248
1,5,Flex,25.54515577648466
1,10,BS,15.194055834840658
1,10,Rag,16.939002703021902
1,10,Supp,437.84700910080414
1,10,Cal,47.696933279334246
1,10,mCal,12.194264982037252
1,10,Flex,16.565740077924918
1,25,BS,8.5057066000825
1,25,Rag,8.694185454304062
1,25,Supp,2296.5627258562636
1,25,Cal,18.25199850210026
1,25,mCal,8.004028376685687
1,25,Flex,7.6908560997184665
2,5,BS,27.1217925192101
2,5,Rag,49.682322786933405
2,5,Supp,469.6659619147557
2,5,Cal,97.6554511810462
2,5,mCal,19.980105183501017
2,5,Flex,25.99323027564346
2,10,BS,16.027907261562852
2,10,Rag,16.723514051587113
2,10,Supp,427.41297390623157
2,10,Cal,45.78904886644511
2,10,mCal,12.886050893691971
2,10,Flex,16.21285413749386
2,25,BS,7.931103660983647
2,25,Rag,8.277277278391297
2,25,Supp,4241.299908411024
2,25,Cal,19.686459547109603
2,25,mCal,7.42117730180924
2,25,Flex,8.3911021049959
3,5,BS,26.900296823804144
3,5,Rag,45.17762281014872
3,5,Supp,437.649704033046
3,5,Cal,97.50660442479436
3,5,mCal,20.293172308975358
3,5,Flex,26.549667461598087
3,10,BS,15.403629696994196
3,10,Rag,16.63005828553707
3,10,Supp,375.4942901404424
3,10,Cal,46.85839115132836
3,10,mCal,12.081109111498908
3,10,Flex,16.11545768168491
3,25,BS,7.861433790373298
3,25,Rag,8.567468579509121
3,25,Supp,3293.9412135551484
3,25,Cal,19.454921819555054
3,25,mCal,7.38869132186908
3,25,Flex,8.359971907379819
4,5,BS,25.56558363997895
4,5,Rag,46.82779925561867
4,5,Supp,448.7176344367725
4,5,Cal,96.91700102162402
4,5,mCal,18.998763133508398
4,5,Flex,25.307714924354848
4,10,BS,15.543308687290606
4,10,Rag,16.451864063232247
4,10,Supp,386.56544476315776
4,10,Cal,47.27305468881819
4,10,mCal,12.249888305190542
4,10,Flex,16.480002029318943
4,25,BS,8.474835150375814
4,25,Rag,8.768522740428473
4,25,Supp,3840.8227570929994
4,25,Cal,19.442670254041374
4,25,mCal,7.730038755722312
4,25,Flex,8.62824673173133
5,5,BS,27.428321515899643
5,5,Rag,51.664843213965526
5,5,Supp,475.0961286354682
5,5,Cal,97.30707467349859
5,5,mCal,20.341333461623996
5,5,Flex,25.804057006461957
5,10,BS,15.137185161841339
5,10,Rag,15.886707150997209
5,10,Supp,418.4440163706245
5,10,Cal,47.58421628998745
5,10,mCal,12.149529909350118
5,10,Flex,16.313505762630918
5,25,BS,7.836082040006678
5,25,Rag,8.422323036024354
5,25,Supp,3818.3257283930225
5,25,Cal,19.340388663569556
5,25,mCal,7.352017413045829
5,25,Flex,8.135491734383235
6,5,BS,25.579599212759064
6,5,Rag,48.19779959871122
6,5,Supp,458.72855355872406
6,5,Cal,97.47954100899038
6,5,mCal,18.858161718648862
6,5,Flex,24.514064637020784
6,10,BS,15.45211056251101
6,10,Rag,17.04712165596565
6,10,Supp,407.69589884186473
6,10,Cal,48.1894924666236
6,10,mCal,11.885154542872387
6,10,Flex,17.008536991543696
6,25,BS,8.019381111230055
6,25,Rag,8.183264192279852
6,25,Supp,4169.084378362558
6,25,Cal,18.92528124690106
6,25,mCal,7.490136487225449
6,25,Flex,7.836958191360575
7,5,BS,28.638794524532308
7,5,Rag,50.29189111685537
7,5,Supp,460.8239061753657
7,5,Cal,97.86048839535883
7,5,mCal,19.73236862980242
7,5,Flex,25.182784114671666
7,10,BS,15.517925329331897
7,10,Rag,16.857761997398043
7,10,Supp,383.33250027893297
7,10,Cal,47.504114210481085
7,10,mCal,12.32000396944218
7,10,Flex,17.237253823462474
7,25,BS,7.610540069415759
7,25,Rag,8.173371739783482
7,25,Supp,3893.2647139552164
7,25,Cal,19.380185288519478
7,25,mCal,7.278390016438449
7,25,Flex,8.081190981255546
8,5,BS,26.172426234205997
8,5,Rag,46.02114512017747
8,5,Supp,454.15260454542636
8,5,Cal,96.71123062670975
8,5,mCal,19.582386459677963
8,5,Flex,25.823407172162124
8,10,BS,17.72876985617719
8,10,Rag,17.647626982122745
8,10,Supp,409.8302373657984
8,10,Cal,48.15638861357244
8,10,mCal,13.06898241041407
8,10,Flex,18.193450487424553
8,25,BS,8.027664992955705
8,25,Rag,8.254869899544895
8,25,Supp,3512.168010081254
8,25,Cal,19.241374524356992
8,25,mCal,7.4123582810082524
8,25,Flex,8.068062336160368
9,5,BS,28.167058085983868
9,5,Rag,48.06828327717391
9,5,Supp,461.66459899440616
9,5,Cal,94.4403499153641
9,5,mCal,19.595076552606145
9,5,Flex,24.040873732863382
9,10,BS,16.107760718393138
9,10,Rag,16.896514173874223
9,10,Supp,391.39675901453455
9,10,Cal,47.32663333908734
9,10,mCal,12.417281686362713
9,10,Flex,17.15807836176031
9,25,BS,7.858917686836015
9,25,Rag,8.286997855175464
9,25,Supp,3760.4984077923036
9,25,Cal,19.37532355308554
9,25,mCal,7.426595720172691
9,25,Flex,8.14347415161414
10,5,BS,29.38937625851632
10,5,Rag,52.651661737912846
10,5,Supp,445.60856457634526
10,5,Cal,97.19184507178066
10,5,mCal,20.65101728638282
10,5,Flex,26.10058996141694
10,10,BS,15.945421848199269
10,10,Rag,16.259371969182958
10,10,Supp,409.96512397877564
10,10,Cal,46.389762704258786
10,10,mCal,12.378716960677353
10,10,Flex,16.415909800548143
10,25,BS,8.241273042977122
10,25,Rag,8.448178308581303
10,25,Supp,3472.5633502946225
10,25,Cal,19.03086532576261
10,25,mCal,7.695045398789498
10,25,Flex,8.069112587682534
11,5,BS,32.981348395632445
11,5,Rag,54.37613961948198
11,5,Supp,441.6444111671327
11,5,Cal,99.20211743678993
11,5,mCal,22.50541437112893
11,5,Flex,28.195505183141318
11,10,BS,15.181363864624593
11,10,Rag,15.843011478903154
11,10,Supp,392.3916356839137
11,10,Cal,46.841973265549505
11,10,mCal,11.912902928665824
11,10,Flex,15.535270320763948
11,25,BS,8.234093916581225
11,25,Rag,8.964326156516524
11,25,Supp,7587.004408888716
11,25,Cal,19.37704287048139
11,25,mCal,7.611678134058486
11,25,Flex,8.148253760592556
12,5,BS,29.263356505149083
12,5,Rag,50.97585055451225
12,5,Supp,462.34737888939725
12,5,Cal,99.23185827649444
12,5,mCal,20.995941636726855
12,5,Flex,26.84202362950574
12,10,BS,16.37179431911795
12,10,Rag,18.375026699752993
12,10,Supp,403.7257253616196
12,10,Cal,48.49541017233402
12,10,mCal,12.236378697831404
12,10,Flex,17.160306989934636
12,25,BS,8.065779825916646
12,25,Rag,8.364119982943592
12,25,Supp,2407.3389671082487
12,25,Cal,19.316555672676248
12,25,mCal,7.5961697526361025
12,25,Flex,8.358340145738781
13,5,BS,26.68047887825669
13,5,Rag,51.17295885371939
13,5,Supp,445.4174222953443
13,5,Cal,96.53579342109283
13,5,mCal,19.518605109400987
13,5,Flex,25.06955449125203
13,10,BS,16.28902709308548
13,10,Rag,16.49102393698955
13,10,Supp,424.4262172575318
13,10,Cal,47.58497002699449
13,10,mCal,12.39910714431984
13,10,Flex,16.4099155014108
13,25,BS,7.78296626870145
13,25,Rag,7.989650642452741
13,25,Supp,3819.3942036411777
13,25,Cal,19.246336148002065
13,25,mCal,7.3867194608800695
13,25,Flex,7.921140862442741
14,5,BS,28.79109495623684
14,5,Rag,50.16354042760417
14,5,Supp,453.50934227230294
14,5,Cal,96.75516894676524
14,5,mCal,20.099150298434402
14,5,Flex,26.304529553690593
14,10,BS,14.766965838760955
14,10,Rag,17.21640421619843
14,10,Supp,412.59654323339214
14,10,Cal,48.545972874389484
14,10,mCal,11.842389823686208
14,10,Flex,17.112546654979493
14,25,BS,8.048604137565357
14,25,Rag,8.588768690398526
14,25,Supp,4295.839834459128
14,25,Cal,19.144595098040558
14,25,mCal,7.628813880070135
14,25,Flex,7.872169204039173
15,5,BS,29.363337380302227
15,5,Rag,55.46504349548965
15,5,Supp,477.02821897934973
15,5,Cal,99.34301067581094
15,5,mCal,21.362226932573233
15,5,Flex,26.718356505703564
15,10,BS,15.431266121829006
15,10,Rag,16.641837532622187
15,10,Supp,414.6846068158261
15,10,Cal,46.45984155848545
15,10,mCal,12.211203597783953
15,10,Flex,15.743835016264052
15,25,BS,7.979048905907148
15,25,Rag,8.45790015813419
15,25,Supp,3199.444008147644
15,25,Cal,19.31860290082454
15,25,mCal,7.535993848314056
15,25,Flex,8.091769542697246
16,5,BS,27.047989564842943
16,5,Rag,50.311279865544996
16,5,Supp,463.367876831898
16,5,Cal,97.40520392504186
16,5,mCal,19.909088432871847
16,5,Flex,25.46477358524976
16,10,BS,16.296131738207187
16,10,Rag,16.467198198168724
16,10,Supp,416.97560968536686
16,10,Cal,46.47065984003377
16,10,mCal,12.45272406782196
16,10,Flex,16.09984878465714
16,25,BS,7.705696337581029
16,25,Rag,8.250652708897496
16,25,Supp,5566.179558678438
16,25,Cal,19.513527314637283
16,25,mCal,7.208742104705301
16,25,Flex,8.188537910280436
17,5,BS,30.071139688170106
17,5,Rag,52.345402871325476
17,5,Supp,455.2322175525552
17,5,Cal,97.34680523657475
17,5,mCal,21.61799347143884
17,5,Flex,26.761773505229705
17,10,BS,16.204598893218776
17,10,Rag,18.67534670128263
17,10,Supp,430.3614140350392
17,10,Cal,47.670952078197665
17,10,mCal,12.79528644281969
17,10,Flex,16.970951244443864
17,25,BS,7.978251815851438
17,25,Rag,8.36050736639136
17,25,Supp,2001.0450869087501
17,25,Cal,19.53554756756126
17,25,mCal,7.464123605654642
17,25,Flex,8.149122433019727
18,5,BS,28.561435292135997
18,5,Rag,50.45244863876544
18,5,Supp,481.3589942861895
18,5,Cal,96.42237206328389
18,5,mCal,20.144059455278207
18,5,Flex,26.184152522073518
18,10,BS,15.685627234000956
18,10,Rag,17.07118143855629
18,10,Supp,422.2400960716701
18,10,Cal,47.34285122019086
18,10,mCal,12.166273411324424
18,10,Flex,16.459480136043798
18,25,BS,8.592469268167577
18,25,Rag,9.15346862602799
18,25,Supp,3386.4486104191164
18,25,Cal,18.931344791094567
18,25,mCal,8.055669679530414
18,25,Flex,8.409663305166161
19,5,BS,27.125319387563206
19,5,Rag,49.10195940620383
19,5,Supp,456.6885777919569
19,5,Cal,96.63178327128671
19,5,mCal,19.057252923368136
19,5,Flex,25.009591890307806
19,10,BS,16.672504525554334
19,10,Rag,18.579821948596425
19,10,Supp,389.4061693722468
19,10,Cal,48.51094904719682
19,10,mCal,12.745053697901291
19,10,Flex,18.02023432216151
19,25,BS,7.900931588863357
19,25,Rag,8.389442203661925
19,25,Supp,2731.9666462439704
19,25,Cal,19.36922922870343
19,25,mCal,7.2837351941495205
19,25,Flex,7.848745904092235
20,5,BS,26.102993869997945
20,5,Rag,48.91523073441402
20,5,Supp,467.3735600903403
20,5,Cal,96.90334063926976
20,5,mCal,19.30572128027087
20,5,Flex,24.89826350629305
20,10,BS,15.638508806869352
20,10,Rag,17.507744855002482
20,10,Supp,397.1349822480158
20,10,Cal,46.807188180918715
20,10,mCal,12.116236588069826
20,10,Flex,16.11341075654962
20,25,BS,7.938873765353904
20,25,Rag,8.502116187270945
20,25,Supp,1880.9568276855105
20,25,Cal,19.54285777845595
20,25,mCal,7.523109072934991
20,25,Flex,8.509915988200605
21,5,BS,28.33548891886143
21,5,Rag,49.694455433400826
21,5,Supp,461.6153204125015
21,5,Cal,96.94340869578822
21,5,mCal,20.873467131867578
21,5,Flex,26.07658993497422
21,10,BS,16.057193217855644
21,10,Rag,17.293006893533732
21,10,Supp,418.03571589716387
21,10,Cal,47.53548637445978
21,10,mCal,12.036750440300413
21,10,Flex,16.637393905114937
21,25,BS,7.908757708279014
21,25,Rag,8.611428128008022
21,25,Supp,2492.664306733944
21,25,Cal,19.189007509949402
21,25,mCal,7.506147758272579
21,25,Flex,8.201897635276683
22,5,BS,29.287506002046587
22,5,Rag,50.58276669149099
22,5,Supp,448.82634297156034
22,5,Cal,97.88578981513837
22,5,mCal,20.34695832886443
22,5,Flex,25.4486226195078
22,10,BS,14.797329930842078
22,10,Rag,14.871301856135284
22,10,Supp,434.8869255462456
22,10,Cal,45.65113890486421
22,10,mCal,12.077405992945529
22,10,Flex,15.806824611851818
22,25,BS,8.28413359018573
22,25,Rag,8.680453491747963
22,25,Supp,6096.741572181005
22,25,Cal,19.0192447623413
22,25,mCal,7.800515426554106
22,25,Flex,8.312287801077215
23,5,BS,27.420836177968887
23,5,Rag,49.13423989694479
23,5,Supp,433.21211917909136
23,5,Cal,97.20098093143794
23,5,mCal,19.499946113456136
23,5,Flex,25.115153968715365
23,10,BS,15.966458966820342
23,10,Rag,16.13459057479234
23,10,Supp,412.85537826103916
23,10,Cal,46.69333882970079
23,10,mCal,12.49601695880752
23,10,Flex,16.538011461217394
23,25,BS,8.46288904094055
23,25,Rag,8.62741396415058
23,25,Supp,2118.4022922946947
23,25,Cal,19.218887109530918
23,25,mCal,7.8350656208235705
23,25,Flex,8.414276843677499
24,5,BS,28.519331215308082
24,5,Rag,49.188254594171354
24,5,Supp,453.67251850721243
24,5,Cal,96.85252939320088
24,5,mCal,20.4169684915416
24,5,Flex,27.718377820303232
24,10,BS,16.32903614378842
24,10,Rag,16.173931941695052
24,10,Supp,429.6748938013692
24,10,Cal,47.60677870504567
24,10,mCal,12.411216722532728
24,10,Flex,17.34303010082278
24,25,BS,8.211601036128846
24,25,Rag,8.650102345345278
24,25,Supp,3050.1388447766676
24,25,Cal,19.00343250501818
24,25,mCal,7.636176551460308
24,25,Flex,8.069048890452866
25,5,BS,29.3061318613238
25,5,Rag,47.399466778074746
